name,lon,lat,May,June,July,Aug,Sep,Oct
50249,121.480805,31.2040191,797.6249598,764.0058664,753.4836508,916.931875,1166.868397,1179.25719
50253,121.479002,31.2014233,993.1974336,1206.025893,1053.579376,1221.413882,742.0049672,633.2973091
50265,121.48238,31.2031596,1108.560735,1358.679587,1156.771221,1223.698846,1132.360786,866.8943078
50268,121.484122,31.2045586,1867.468726,1538.900111,1732.861733,2236.303704,2725.433386,2811.350326
50282,121.48453,31.2056512,2691.307209,2359.399096,2451.483856,3146.597098,3091.74322,2499.494211
50284,121.486537,31.2058931,1491.986551,1451.653361,1441.729905,1572.363661,1541.108751,1344.459219
50286,121.485244,31.2047875,1307.993577,1676.543251,1399.644055,1414.916515,2174.194485,2858.201321
50287,121.484961,31.2051866,1973.863526,1691.134786,1796.526653,1741.805699,1700.074107,2123.263668
50297,121.481993,31.2005058,1722.432063,2007.015038,2287.055732,2016.2733,2812.150162,2652.399263
50298,121.481643,31.200918,1127.574231,848.1459858,1062.834157,1392.130872,1292.339485,1310.827934
50303,121.484921,31.2042772,3401.782903,3196.758802,3375.734161,3442.950236,3343.858084,3182.580004
50311,121.4857,31.2029071,3851.270545,3904.184918,3961.704715,3957.700496,4096.382561,3933.48632
50313,121.486138,31.2019533,2724.354646,2829.447742,2764.486447,2838.528756,3181.320003,2955.996715
50314,121.486332,31.2014646,3398.831762,3612.393177,3801.094333,2983.539466,3024.126311,3271.335854
50315,121.491352,31.2042107,2964.969524,3187.043676,3062.587582,2836.206279,2841.869253,3062.300275
50316,121.491165,31.2050955,3108.502779,3115.499254,3153.118045,3197.498988,3461.714706,3569.15359
50317,121.489962,31.2034422,2685.106294,2546.895892,2779.09984,2823.791298,2671.266079,2998.549601
50321,121.490579,31.2052413,2664.842225,2669.766548,2873.86445,2888.12452,3401.610742,2988.529851
50322,121.490089,31.2027331,3223.2678,3186.407078,3294.288156,2951.933328,2447.871901,2598.295815
50323,121.490708,31.2028477,2751.828508,2870.50726,2937.831473,2969.932165,3066.351651,3387.177642
50325,121.490506,31.2023624,2640.9101,2721.2638,2497.680159,2913.926766,3283.55532,3547.813713
50326,121.49145,31.2019032,2384.216204,2318.245588,2293.782191,2207.100045,2643.92915,2728.477718
50327,121.491919,31.2016659,3188.64011,2937.794613,3060.914622,3234.501609,3431.5646,3509.731177
50328,121.492375,31.2014111,2695.518262,3342.644839,3544.215149,2975.524691,3155.547877,3311.270114
50329,121.492847,31.2011853,3655.582191,3524.589601,3701.581471,3728.099833,3321.702358,3993.040382
50330,121.491086,31.2026315,2371.545101,2554.985091,2508.542014,2695.826845,2736.737556,2573.508046
50331,121.491195,31.2031433,3589.217341,3747.578949,3511.695812,3306.741619,3218.325042,3348.124981
50332,121.490155,31.2019621,2076.844744,2437.023356,2360.083273,2149.668409,2596.744106,2928.911508
50333,121.489873,31.20152,2665.007798,3062.30296,2998.910795,2399.857391,2555.221731,3395.772593
50334,121.489558,31.2011078,2521.833249,2395.099434,2350.184932,2591.699152,2697.030333,2917.495119
50335,121.48921,31.2007163,1804.551051,1736.540391,1516.262919,2185.938261,2152.215092,2952.817179
50336,121.488816,31.2003697,2489.551109,2376.39697,2369.065471,2600.659355,2641.23523,2705.340631
50337,121.488448,31.1999964,1900.265213,1646.09699,1684.278593,2355.27213,2697.783289,2950.791936
50338,121.488086,31.1996179,3611.3147,3647.159244,3964.17823,3586.775893,3844.475717,4102.834468
50339,121.488121,31.2044902,1615.657348,1548.441046,1595.407801,1613.042337,1824.272616,1994.939827
50340,121.488493,31.2041201,2775.857656,2996.026063,2930.512565,3122.606969,2487.040047,2564.980583
50341,121.488897,31.2037884,2234.476581,2350.095091,2131.833633,2453.570538,2017.65017,1835.948307
50342,121.489284,31.2034361,1298.740394,1475.973303,1401.131458,1495.62074,2080.041062,2517.137109
50343,121.489642,31.2030533,2679.827754,2213.990121,2294.653943,2307.348443,2669.39145,2932.547574
50344,121.490695,31.201673,3493.860219,3465.839605,3464.020773,3703.002565,3856.544283,3917.872386
50346,121.490086,31.2008238,3089.796054,3292.311659,3135.176768,2810.444815,3066.788902,3402.329849
