name,PF,PD_5,PD_6,PD_7,PD_8,PD_9,PD_10
19477,0.353374189,0.825044718,0.857347701,0.875356998,0.877151102,0.640824059,0.664616284
19478,0.255967116,0.800298012,0.777530582,0.820395776,0.763356176,0.67967352,0.720681869
19479,0.239321874,0.617364161,0.672940019,0.636196253,0.625896928,0.647696268,0.695313941
19480,0.300483332,0.643760486,0.629905872,0.640260583,0.591960041,0.48508771,0.562812176
19481,0.256259011,0.651702043,0.679657666,0.663028799,0.699113089,0.768293331,0.618287269
19482,0.232513435,0.629539749,0.67378782,0.66257467,0.70226586,0.599107595,0.615619058
19483,0.254905813,0.536766735,0.510763855,0.574847163,0.560728607,0.590270931,0.615500635
19484,0.223512142,0.692394506,0.652293234,0.687268088,0.618269032,0.358067858,0.143702003
19486,0.170215619,0.542783594,0.55070578,0.524741969,0.459309181,0.514650852,0.364269897
19487,0.20388078,0.495053145,0.5493212,0.525797561,0.375606096,0.382503184,0.401148588
19488,0.28585287,0.498033497,0.561550889,0.570858149,0.465120791,0.375982974,0.462872664
19489,0.267184654,0.532953245,0.652059365,0.637902748,0.583511774,0.671245974,0.657898146
19490,0.214932675,0.173781122,0.186930617,0.212457956,0.195804671,0.299284149,0.288456391
19491,0.258561145,0.478699428,0.450375422,0.454981109,0.502955612,0.29063683,0.273589408
19492,0.271016168,0.258368871,0.229518425,0.201378146,0.265260971,0.428769774,0.579252166
19493,0.253501524,0.240674048,0.179051014,0.231495192,0.366634764,0.527565224,0.609076616
19494,0.305183885,0.824831888,0.749207216,0.812452897,0.726724724,0.44420036,0.260536231
19505,0.20152098,0.344563321,0.472836953,0.441132794,0.39258688,0.460916503,0.396456666
19506,0.220094061,0.408350594,0.427046521,0.413503496,0.427070693,0.446502746,0.396706684
19507,0.232376425,0.48780935,0.398506223,0.461306818,0.531392274,0.646501934,0.71009196
19509,0.2555163,0.586359322,0.603269501,0.675793043,0.611179608,0.73808889,0.725144012
19510,0.282216014,0.517779417,0.51700315,0.538350389,0.61231289,0.623123018,0.609459051
19511,0.25396575,0.537573347,0.609455394,0.611916704,0.395994879,0.412766156,0.493217383
19512,0.231317971,0.387444445,0.454052006,0.379951977,0.343269246,0.358101395,0.434373409
19513,0.272141882,0.349171878,0.411698228,0.358438322,0.35005224,0.386407451,0.41494948
19521,0.305475281,0.58889005,0.555587676,0.579896075,0.682365338,0.70593902,0.578528324
19524,0.095082003,0.221885452,0.299455134,0.298445467,0.174825894,0.217558924,0.131046927
19525,0.024890959,0.053305965,0.018471021,0.062897015,0.067998607,0.140007757,0.20988034
19526,0.039770397,0.106828836,0.166084361,0.185662911,0.157459533,0.190019278,0.188322419
19527,0.044193572,0.123708002,0.154055573,0.107704784,0.055154949,0.131265702,0.131644962
19532,0.338016232,0.539360706,0.539480616,0.537249215,0.528543531,0.640192511,0.743623855
19533,0.060611988,0.297880944,0.228012915,0.29199738,0.270326347,0.305844621,0.19294195
19534,0.026072704,0.08981882,0.075893007,0.06740567,0.10816116,0.111251765,0.28997555
19535,0.021542269,0.225144503,0.261350754,0.197809694,0.167135824,0.179708015,0.19167131
19536,0.052077842,0.265105606,0.304521735,0.241967161,0.211468949,0.287384874,0.165501723
19537,0.09446708,0.203845215,0.217410691,0.216970623,0.286608361,0.201444825,0.022539945
19538,0.328275292,0.659824781,0.720230431,0.653231582,0.706327382,0.772526557,0.673818105
19539,0.058997541,0.439517994,0.406958118,0.354735297,0.521889648,0.375003619,0.332431962
19540,0.006360058,0.127099574,0.164746065,0.079276564,0.089997156,0.120917436,0.126404266
19541,0.007901553,0.107408059,0.106047492,0.042421899,0.20700223,0.161815341,0.137766132
19542,0.171558572,0.411775204,0.429895078,0.46580687,0.413312959,0.242772001,0.172120793
19543,0.042836161,0.34815487,0.345135766,0.351931366,0.323208886,0.221787655,0.225264001
19544,0.135490774,0.267921973,0.221355253,0.248335104,0.232321164,0.350645273,0.442619832
19545,0.175363113,0.573471699,0.488148803,0.583362245,0.654257221,0.639283625,0.389945911
19546,0.265557822,0.722201074,0.599529363,0.698652073,0.613962208,0.468965819,0.341358765
19547,0.236103426,0.715586888,0.66677246,0.735118142,0.773438734,0.386009372,0.045712017
19569,0.271763742,0.721843894,0.733916683,0.681463155,0.821062297,0.929371827,0.642569129
19570,0.288609449,0.674604579,0.620607015,0.634209132,0.723056554,0.889270647,0.551548329
19571,0.286690266,0.621206121,0.648303081,0.647478423,0.750547683,0.878509892,0.634280746
19572,0.331023547,0.689480242,0.650648947,0.665921438,0.768132412,0.964592659,0.793960222
19573,0.313305817,0.638501089,0.666713041,0.665172183,0.665013042,0.653585125,0.609439398
19574,0.325084872,0.655544342,0.634740274,0.681679823,0.699165635,0.671641973,0.708294
19575,0.419831798,0.69115762,0.650539899,0.752511953,0.630528291,0.622123938,0.660058298
19576,0.41118621,0.62406221,0.653258373,0.685412557,0.66500979,0.577105559,0.578825823
19577,0.336977972,0.57745245,0.43343206,0.542612566,0.636613161,0.704805472,0.741295138
