FID,lon,lat,year,month,svid,north_angle
1922,121.4264326,31.3518266,2019,6,09000300121906081157084738W,75.464
1927,121.4266238,31.35207028,2019,6,09000300121906081157112728W,75.386
1928,121.4299091,31.35051847,2019,6,09000300121906071054210308W,176.07
1931,121.429767,31.35204994,2019,6,09000300121906071054089938W,175.718
1932,121.4298154,31.35152661,2019,6,09000300121906071054134218W,175.493
1936,121.430638,31.35285212,2019,6,09000300121906080955254678W,65.538
1937,121.4311248,31.35304721,2019,6,09000300121906080955315958W,65.78
1938,121.4316166,31.35322936,2019,6,09000300121906080955381968W,61.825
1944,121.4268491,31.35138467,2019,6,09000300121906081157065868W,75.24
1947,121.4271982,31.35203657,2019,6,09000300121906081157178988W,74.195
1948,121.4277089,31.35216149,2019,6,09000300121906081157247668W,74.212
1950,121.4287291,31.35241604,2019,6,09000300121906081217537978W,74.789
1951,121.4292389,31.35254547,2019,6,09000300121906081157478598W,75.0
1952,121.4302785,31.35097998,2019,6,09000300121906071222108208W,0.397
1953,121.4303448,31.35046006,2019,6,09000300121906071222050478W,1.532
1954,121.4303812,31.34993658,2019,6,09000300121906071221591068W,356.512
1956,121.4305779,31.34898209,2019,6,09000300121906080954251668W,315.24
1960,121.4351198,31.35237225,2019,6,09000300121906080951445788W,337.249
1961,121.4353548,31.35190188,2019,6,09000300121906080951358878W,337.303
1962,121.4355923,31.35143279,2019,6,09000300121906080951298578W,335.913
1963,121.4358011,31.3509508,2019,6,09000300121906080951222918W,340.542
1964,121.4361679,31.3503189,2019,6,09000300121906080949461928W,155.664
1965,121.4364078,31.34985506,2019,6,09000300121906080949538588W,158.033
1966,121.4366437,31.34938942,2019,6,09000300121906080950034508W,158.034
1967,121.4368647,31.34891674,2019,6,09000300121906080950109838W,157.63
1968,121.4353942,31.35057377,2019,6,09000300121906080944378918W,67.498
1969,121.4349065,31.3503847,2019,6,09000300121906080944315138W,67.706
1970,121.4344157,31.35020853,2019,6,09000300121906080944258878W,68.477
1971,121.4339304,31.35001322,2019,6,09000300121906080944203258W,67.038
1972,121.433436,31.34984572,2019,6,09000300121906080944158598W,66.946
1973,121.432955,31.34964858,2019,6,09000300121906080944100218W,65.92
1974,121.4324683,31.34945616,2019,6,09000300121906080944041348W,66.607
1975,121.4319823,31.34926307,2019,6,09000300121906080943581758W,67.729
1976,121.4314968,31.34906546,2019,6,09000300121906080943525188W,67.877
1977,121.4309992,31.34890045,2019,6,09000300121906080943454078W,66.906
1978,121.4386937,31.35169088,2019,6,09000300121906080945271848W,66.097
1979,121.4382016,31.35150664,2019,6,09000300121906080945208658W,67.488
1980,121.4377046,31.35133831,2019,6,09000300121906080945157578W,67.842
1981,121.437211,31.35117121,2019,6,09000300121906080945089248W,66.328
1982,121.4367255,31.35098678,2019,6,09000300121906080944593888W,77.571
1983,121.4362319,31.35081005,2019,6,09000300121906080944514638W,65.012
1984,121.4396616,31.35209901,2019,6,09000300121906080946390868W,67.386
1985,121.440151,31.35228429,2019,6,09000300121906080946494208W,65.962
1986,121.4406528,31.35242965,2019,6,09000300121906080947033488W,67.686
1989,121.4476586,31.34996334,2019,6,09000300121906080826462338W,336.202
1990,121.447903,31.34950205,2019,6,09000300121906080826367928W,336.945
1991,121.4481433,31.34903811,2019,6,09000300121906080826280148W,335.471
1992,121.4483783,31.34857184,2019,6,09000300121906080826191798W,337.269
1993,121.4486047,31.34810127,2019,6,09000300121906080826117218W,337.067
1994,121.4488248,31.34762844,2019,6,09000300121906080828237868W,158.775
2002,121.4572572,31.35022203,2019,6,09000300121906080822180638W,247.994
2003,121.4567578,31.35005696,2019,6,09000300121906080822234048W,248.162
2004,121.4562655,31.3498745,2019,6,09000300121906080822288598W,248.097
2005,121.4557684,31.34970766,2019,6,09000300121906080822341038W,247.816
2006,121.4552712,31.34954035,2019,6,09000300121906080822406428W,249.375
2007,121.4547843,31.34935012,2019,6,09000300121906080822470858W,248.068
2008,121.4542897,31.34917627,2019,6,09000300121906080822522028W,247.928
2009,121.4537986,31.34900277,2019,6,09000300121906080822567418W,248.026
2010,121.4533034,31.34884392,2019,6,09000300121906080824542598W,248.002
2011,121.452817,31.34865241,2019,6,09000300121906080825008428W,247.806
