name,lon,lat,May,June,July,Aug,Sep,Oct
30166,121.574534,31.25711842,2510.635644,2724.259759,2740.318433,2437.328864,2345.098964,2541.350754
30167,121.574748,31.25685723,2510.633393,2724.258414,2740.316662,2437.326224,2345.095657,2541.349215
30189,121.5760163,31.25145207,2324.427299,2427.763882,2546.491302,2327.737572,2460.095818,2326.440095
30190,121.5757089,31.25102755,1992.061254,1891.904853,1957.712092,2154.126789,2343.152785,2393.335019
30191,121.5753593,31.25063772,1956.443106,2136.285509,2070.466525,2024.116125,2548.091388,2583.345751
30193,121.5761515,31.25262332,2805.483745,2899.433832,3025.238388,2710.599334,2712.504431,2628.923845
30194,121.5757259,31.25293225,2102.783654,2418.998684,2261.463504,2166.475469,2178.735536,2332.141599
30195,121.5752898,31.25322633,2516.268556,2607.160919,2391.194779,2549.553588,2671.227444,2486.005623
30196,121.5748645,31.25353564,1995.857271,2085.242544,2029.476427,1986.012719,1952.470889,2002.323007
30197,121.5744293,31.25383105,3298.367711,3227.118612,3168.5684,3166.028615,2760.273537,3244.605012
30198,121.5739998,31.25413433,2090.571096,2260.463521,2257.799448,2169.807601,2218.957662,2215.863256
30204,121.576631,31.25237997,3128.004171,3064.551635,3161.274451,3269.474419,3227.632903,3450.438914
30205,121.5770202,31.25203005,2928.945849,2921.799107,2959.270726,2801.474358,2457.407356,2412.619595
30206,121.5774517,31.25172938,2339.797567,2426.651987,2350.172346,2141.986398,2348.83887,2483.713897
30208,121.5822499,31.25632686,962.4776213,1296.586865,1265.926744,541.5466387,550.1343791,587.7401289
30209,121.5826593,31.25599661,813.977165,964.8963422,912.2307337,754.1514337,628.8718379,543.8953543
30210,121.5830686,31.25566636,529.9970938,184.1155273,341.9251442,524.9316239,589.139047,491.9069924
30213,121.5842564,31.25462791,274.0399182,272.4278869,227.1709084,287.4257382,445.1414739,333.9940022
30220,121.5789559,31.25457902,1568.752413,1663.523796,1797.965139,1583.269363,1328.842451,952.8301318
30221,121.5784678,31.25477158,1612.724541,1603.698719,1673.373807,1856.821927,2221.791185,2293.925423
30225,121.5781494,31.25172715,2354.808975,2347.691783,2457.410047,2376.690311,2376.320784,2594.963845
30237,121.5839711,31.2541791,1723.633198,1646.684918,1668.195411,2102.2321,2296.739473,2178.104971
30238,121.5835982,31.25380906,2120.543097,2331.803639,2273.438846,2164.651,2096.159802,1942.898164
30239,121.5831801,31.25349378,2408.917197,2158.855656,2138.734255,2321.197969,3076.242234,3299.557146
30240,121.5828068,31.25312353,2410.695296,2729.86108,2481.532424,2466.726965,2698.295046,3019.277579
30241,121.5823877,31.2528092,2659.566138,2645.544545,2525.653674,2672.291041,2954.755153,2814.68887
30242,121.5819907,31.25246872,1889.912884,1985.544505,2013.814585,1771.260675,1768.368952,1866.137056
30243,121.5816006,31.25211931,1812.568043,1843.553335,1804.004274,2010.728075,2135.225515,1799.607133
30272,121.5897096,31.2525648,3887.55729,4216.344489,4101.233996,3816.645281,4218.097307,4110.006166
30411,121.6228754,31.25543424,3067.494848,3301.72524,3122.765461,2932.306492,2579.240024,2252.14754
30414,121.6237889,31.25415531,3291.282394,3224.977828,3274.915485,3622.403718,3277.673446,1949.858582
30415,121.6240579,31.25370558,2207.64125,2545.146952,2368.455068,1888.797165,1749.197044,1783.378067
30416,121.6243061,31.25324282,2137.847475,2122.335666,2171.213706,2324.719914,2651.637279,2614.973784
30417,121.6245866,31.25279879,936.0705989,959.0204564,1227.380839,862.9238726,724.4444287,500.3748586
